conceptID,concept,rank,PMID
,validity,1,8619104
,ischaemic,1,8619104
,ischaemic heart disease,1,8619104
,heart,1,8619104
,heart disease,1,8619104
,disease,2,8619104
,chronic,1,8619104
,chronic obstructive pulmonary disease,1,8619104
,obstructive pulmonary disease,1,8619104
,pulmonary,1,8619104
,pulmonary disease,1,8619104
,saskatchewan,1,8619104
,health,1,8619104
,health care,1,8619104
,care,1,8619104
,internal,1,8619104
,validity,1,8619104
,information,2,8619104
,ischaemic,1,8619104
,ischaemic heart disease,1,8619104
,heart,1,8619104
,heart disease,1,8619104
,disease,2,8619104
,chronic,2,8619104
,chronic obstructive pulmonary disease,1,8619104
,obstructive pulmonary disease,1,8619104
,pulmonary,1,8619104
,pulmonary disease,1,8619104
,copd,3,8619104
,administrative,1,8619104
,administrative health care,1,8619104
,health,1,8619104
,health care,1,8619104
,care,1,8619104
,canadian,1,8619104
,province,1,8619104
,saskatchewan,1,8619104
,comparisons,1,8619104
,hospital,1,8619104
,data,1,8619104
,medical,1,8619104
,charts,1,8619104
,acute,1,8619104
,acute myocardial infarction,1,8619104
,myocardial,1,8619104
,myocardial infarction,1,8619104
,infarction,1,8619104
,chronic airways obstruction,1,8619104
,airways,1,8619104
,airways obstruction,1,8619104
,obstruction,1,8619104
,patients,1,8619104
,excellent,1,8619104
,diagnostic,1,8619104
,agreement,1,8619104
,cent,7,8619104
,physician,2,8619104
,physician service,1,8619104
,service,1,8619104
,hospitalizations,2,8619104
,ihd,4,8619104
,exact,1,8619104
,concordance,2,8619104
,diagnoses,1,8619104
,asthma,1,8619104
,diagnosis,1,8619104
,same,1,8619104
,broad,1,8619104
,category,1,8619104
,cop,1,8619104
,epidemiologically,1,8619104
,trial,1,8551821
,intravenous,1,8551821
,diltiazem,1,8551821
,glyceryl trinitrate,1,8551821
,unstable,1,8551821
,unstable angina,1,8551821
,unstable angina pectoris,1,8551821
,angina,1,8551821
,angina pectoris,1,8551821
,effect,2,8551821
,dihydropyridines,1,8551821
,patients,6,8551821
,unstable,3,8551821
,unstable angina,1,8551821
,angina,7,8551821
,out,1,8551821
,diltiazem,9,8551821
,trial,2,8551821
,glyceryl trinitrate,4,8551821
,intravenously,1,8551821
,ang,2,8551821
,endpoints,1,8551821
,refractory,6,8551821
,refractory angina,6,8551821
,myocardial,4,8551821
,myocardial infarction,4,8551821
,infarction,4,8551821
,individually,1,8551821
,composite,1,8551821
,endpoint,1,8551821
,alone,1,8551821
,together,1,8551821
,significantly,5,8551821
,less,2,8551821
,group,7,8551821
,trial drugs,1,8551821
,drugs,2,8551821
,numbers,2,8551821
,relative,5,8551821
,relative risk,5,8551821
,risk,5,8551821
,number,1,8551821
,better,1,8551821
,survival,1,8551821
,pressure,1,8551821
,product,1,8551821
,only,1,8551821
,incidence,1,8551821
,bradyarrhythmias,1,8551821
,not,2,8551821
,atrioventricular conduction,1,8551821
,conduction,1,8551821
,conduction disturbances,1,8551821
,disturbances,2,8551821
,dose,2,8551821
,drug,1,8551821
,temporary,1,8551821
,temporary pacemakers,1,8551821
,pacemakers,1,8551821
,headache,1,8551821
,analgesic,1,8551821
,dose adjustment,1,8551821
,adjustment,1,8551821
,results,1,8551821
,intravenous,2,8551821
,ischaemic,1,8551821
,events,1,8551821
,clinical,1,7477219
,clinical trial,1,7477219
,trial,1,7477219
,inhibitor,1,7477219
,trandolapril,2,7477219
,patients,1,7477219
,left,1,7477219
,left ventricular dysfunction,1,7477219
,ventricular,1,7477219
,ventricular dysfunction,1,7477219
,dysfunction,1,7477219
,myocardial,1,7477219
,myocardial infarction,1,7477219
,infarction,1,7477219
,cardiac,1,7477219
,cardiac evaluation,1,7477219
,evaluation,1,7477219
,trace,1,7477219
,study,1,7477219
,group,1,7477219
,background,1,7477219
,treatment,2,7477219
,ace,3,7477219
,inhibitors,2,7477219
,mortality,4,7477219
,survivors,1,7477219
,acute,1,7477219
,acute myocardial infarction,1,7477219
,myocardial,5,7477219
,myocardial infarction,4,7477219
,infarction,5,7477219
,ace inhibitors,1,7477219
,patients,9,7477219
,only,1,7477219
,uncertain,1,7477219
,methods,1,7477219
,consecutive,2,7477219
,myocardial infarctions,1,7477219
,infarctions,1,7477219
,enzyme,1,7477219
,studies,1,7477219
,total,1,7477219
,echocardiographic,1,7477219
