conceptID,concept,rank,PMID
,carotid,1,26824224
,plaque,1,26824224
,vulnerability,1,26824224
,ultrasound,1,26824224
,center,1,26824224
,frequency,1,26824224
,shifts,1,26824224
,background,1,26824224
,cause,1,26824224
,morbidity,1,26824224
,mortality,1,26824224
,atherosclerotic,2,26824224
,atherosclerotic cardiovascular disease,1,26824224
,cardiovascular,1,26824224
,cardiovascular disease,1,26824224
,disease,1,26824224
,most,1,26824224
,rupture,1,26824224
,plaque,5,26824224
,subsequent,1,26824224
,thrombosis,1,26824224
,stroke,1,26824224
,myocardial,1,26824224
,myocardial infarction,1,26824224
,infarction,1,26824224
,sudden,1,26824224
,sudden death,1,26824224
,death,1,26824224
,affected,1,26824224
,arterial,1,26824224
,territory,1,26824224
,accurate,1,26824224
,noninvasive,2,26824224
,methods,2,26824224
,lesions,1,26824224
,plaques,7,26824224
,currently,1,26824224
,suboptimal,1,26824224
,aim,1,26824224
,new,2,26824224
,ultrasound,2,26824224
,ultrasound method,1,26824224
,method,4,26824224
,carotid,2,26824224
,center,1,26824224
,frequency,2,26824224
,shift,1,26824224
,cfs,4,26824224
,radio,1,26824224
,radio frequency,1,26824224
,data,2,26824224
,reference,1,26824224
,phantom,1,26824224
,sections,1,26824224
,vivo,1,26824224
,patients,1,26824224
,prior,1,26824224
,plaque removal,1,26824224
,removal,1,26824224
,histology,1,26824224
,results,1,26824224
,vulnerability,3,26824224
,index,2,26824224
,histological,1,26824224
,areas,1,26824224
,lip,1,26824224
,ids,1,26824224
,macrophages,2,26824224
,hemorrhage,1,26824224
,smooth,1,26824224
,smooth muscle,1,26824224
,smooth muscle cells,1,26824224
,muscle,1,26824224
,muscle cells,1,26824224
,cells,1,26824224
,collagen,2,26824224
,median,1,26824224
,larger,1,26824224
,more,1,26824224
,less,1,26824224
,rich,1,26824224
,agreement,1,26824224
,definition,1,26824224
,accuracy,1,26824224
,high,1,26824224
,interval,1,26824224
,sensitivity,1,26824224
,specificity,1,26824224
,conclusions,1,26824224
,first,1,26824224
,atherosclerotic plaque,1,26824224
,components,1,26824224
,differential,1,26823790
,loss,1,26823790
,natural,1,26823790
,natural killer,1,26823790
,natural killer cell,1,26823790
,killer,1,26823790
,killer cell,1,26823790
,cell,1,26823790
,activity,1,26823790
,patients,1,26823790
,acute,1,26823790
,acute myocardial infarction,1,26823790
,myocardial,1,26823790
,myocardial infarction,1,26823790
,infarction,1,26823790
,stable,1,26823790
,stable angina,1,26823790
,stable angina pectoris,1,26823790
,angina,1,26823790
,angina pectoris,1,26823790
,background,1,26823790
,activity,1,26823790
,natural,6,26823790
,natural killer,6,26823790
,natural killer cells,5,26823790
,killer,6,26823790
,killer cells,5,26823790
,cells,6,26823790
,inhibitory,3,26823790
,receptors,5,26823790
,quantity,4,26823790
,peripheral,1,26823790
,peripheral blood,1,26823790
,peripheral blood mononuclear cells,1,26823790
,blood,1,26823790
,mononuclear,1,26823790
,mononuclear cells,1,26823790
,patients,8,26823790
,acute,1,26823790
,acute myocardial infarction,1,26823790
,myocardial,6,26823790
,myocardial infarction,6,26823790
,infarction,7,26823790
,stable,2,26823790
,stable angina,1,26823790
,stable angina pectoris,1,26823790
,angina,5,26823790
,angina pectoris,1,26823790
,controls,2,26823790
,methods,1,26823790
,ang,1,26823790
,healthy,1,26823790
,healthy volunteers,1,26823790
,volunteers,1,26823790
,study,1,26823790
,people,1,26823790
,group,4,26823790
,whole,1,26823790
,human,1,26823790
,human genome,1,26823790
,genome,1,26823790
,microarray,1,26823790
,microarray analysis,1,26823790
,analysis,2,26823790
,gene,1,26823790
,gene expressions,1,26823790
,expressions,3,26823790
,activating,1,26823790
,natural killer cell,1,26823790
,natural killer cell receptors,1,26823790
,killer cell,1,26823790
,cell,1,26823790
,flow,1,26823790
,flow cytometry,1,26823790
,cytometry,1,26823790
,results,1,26823790
,mrna,1,26823790
,mrna expressions,1,26823790
,ntba,1,26823790
,significantly,2,26823790
,statistical,1,26823790
,difference,1,26823790
,receptor,1,26823790
,receptor expressions,1,26823790
,control,1,26823790
,control group,1,26823790
,normal,1,26823790
,normal range,1,26823790
,range,1,26823790
,conclusions,1,26823790
,significant,1,26823790
,downregulation,1,26823790
,several,1,26823790
,reduction,1,26823790
,quantitative,1,26823790
,loss,1,26823790
,dysfunction,1,26823790
,beta,1,26823694
,gene,1,26823694
,gene polymorphisms,1,26823694
,polymorphisms,1,26823694
,risk,1,26823694
,myocardial,1,26823694
,myocardial infarction,1,26823694
,infarction,1,26823694
,ischemic,1,26823694
,ischemic stroke,1,26823694
,stroke,1,26823694
,young,1,26823694
,age,1,26823694
,vivo,1,26823694
,vitro,1,26823694
,study,3,26823694
,vivo,1,26823694
,vitro,1,26823694
,model,1,26823694
,interleukin,1,26823694
,gene,1,26823694
,gene polymorphisms,1,26823694
,polymorphisms,1,26823694
,risk,2,26823694
,myocardial,3,26823694
,myocardial infarction,2,26823694
,infarction,2,26823694
,ischemic,2,26823694
,ischemic stroke,2,26823694
,stroke,4,26823694
,young,3,26823694
,age,5,26823694
,patients,5,26823694
,years,2,26823694
,first,1,26823694
,first episode,1,26823694
,episode,1,26823694
,cerebral,1,26823694
