conceptID,concept,rank,PMID
,ckd,1,26668023
,acute,1,26668023
,outcome,1,26668023
,patients,1,26668023
,peripheral,1,26668023
,peripheral artery,1,26668023
,peripheral artery disease,1,26668023
,artery,1,26668023
,artery disease,1,26668023
,disease,1,26668023
,critical,1,26668023
,critical limb ischemia,1,26668023
,limb,1,26668023
,limb ischemia,1,26668023
,ischemia,1,26668023
,background,1,26668023
,objectives,1,26668023
,many,1,26668023
,studies,1,26668023
,association,4,26668023
,ckd,9,26668023
,high,1,26668023
,high risk,1,26668023
,risk,1,26668023
,ischemic,1,26668023
,events,1,26668023
,mortality,4,26668023
,peripheral,1,26668023
,peripheral arterial,1,26668023
,peripheral arterial disease,1,26668023
,arterial,1,26668023
,arterial disease,1,26668023
,disease,2,26668023
,pad,6,26668023
,still,1,26668023
,not,1,26668023
,well,1,26668023
,design,1,26668023
,setting,1,26668023
,participants,1,26668023
,measurements,1,26668023
,large,1,26668023
,cohort,1,26668023
,cohort study,1,26668023
,study,1,26668023
,earlier,1,26668023
,stages,2,26668023
,morbidity,2,26668023
,short,1,26668023
,outcome,2,26668023
,costs,3,26668023
,patients,7,26668023
,results,1,26668023
,index,1,26668023
,hospitalization,1,26668023
,january,1,26668023
,december,2,26668023
,stage,4,26668023
,ratio,2,26668023
,women,1,26668023
,men,1,26668023
,frequencies,2,26668023
,coronary,1,26668023
,coronary artery,1,26668023
,coronary artery disease,1,26668023
,artery,1,26668023
,artery disease,1,26668023
,chronic,1,26668023
,chronic heart failure,1,26668023
,heart,1,26668023
,heart failure,1,26668023
,failure,2,26668023
,categories,1,26668023
,significantly,1,26668023
,revascularizations,1,26668023
,nearly,3,26668023
,amputation,2,26668023
,rate,2,26668023
,infections,1,26668023
,acute,1,26668023
,acute renal failure,1,26668023
,renal,1,26668023
,renal failure,1,26668023
,frequency,1,26668023
,myocardial,1,26668023
,myocardial infarction,1,26668023
,infarction,1,26668023
,inhospital mortality,1,26668023
,inhospital mortality rate,1,26668023
,mortality rate,1,26668023
,cox,1,26668023
,regression,1,26668023
,model,1,26668023
,significant,2,26668023
,predictor,1,26668023
,followup,1,26668023
,years,2,26668023
,median,1,26668023
,days,2,26668023
,percentiles,1,26668023
,hazard,1,26668023
,hazard ratio,1,26668023
,confidence,1,26668023
,confidence interval,1,26668023
,interval,1,26668023
,mortality rates,1,26668023
,lengths,1,26668023
,hospital,1,26668023
,average,1,26668023
,conclusions,1,26668023
,analysis,1,26668023
,duration,1,26668023
,treatment,1,26668023
,complications,1,26668023
,more,1,26816069
,adverse events,1,26816069
,events,1,26816069
,outcome,1,26816069
,use,1,26816069
,purpose,2,26816069
,ria,5,26816069
,system,4,26816069
,high,1,26816069
,success,2,26816069
,only,1,26816069
,few,1,26816069
,complications,4,26816069
,intramedullary,2,26816069
,canal,1,26816069
,single,1,26816069
,step,1,26816069
,prior,1,26816069
,placement,1,26816069
,intramedullary nail,1,26816069
,nail,1,26816069
,femur,1,26816069
,fixation,1,26816069
,marrow,2,26816069
,contents,1,26816069
,embolism,2,26816069
,systemic,1,26816069
,circulation,1,26816069
,evacuation,1,26816069
,healing,3,26816069
,nonunion fractures,2,26816069
,fractures,3,26816069
,segmental,1,26816069
,bone,3,26816069
,defects,3,26816069
,osteomyelitis,3,26816069
,experienced,1,26816069
,severe,1,26816069
,severe adverse events,1,26816069
,adverse events,1,26816069
,events,2,26816069
,aim,1,26816069
,point,1,26816069
,out,1,26816069
,possible,1,26816069
,methods,1,26816069
,retrospective,1,26816069
,retrospective study,1,26816069
,study,1,26816069
,consecutive,1,26816069
,patients,6,26816069
,october,1,26816069
,demographic,1,26816069
,demographic characteristics,1,26816069
,characteristics,1,26816069
,consolidation,1,26816069
,xrays,1,26816069
,time,1,26816069
,injury,1,26816069
,postoperative,2,26816069
,postoperative pain,2,26816069
,pain,2,26816069
,procedure,1,26816069
,results,1,26816069
,males,1,26816069
,average,1,26816069
,followup,1,26816069
,days,1,26816069
,successful,1,26816069
,complication,1,26816069
,due,1,26816069
,use,1,26816069
,signs,1,26816069
,lung,1,26816069
,lung embolism,1,26816069
,myocardial,1,26816069
,myocardial infarction,1,26816069
,infarction,1,26816069
,fissure,1,26816069
,conclusions,1,26816069
,benefits,1,26816069
,treatment,1,26816069
,defect,1,26816069
,not,1,26816069
,risk,1,26816069
,surgical,1,26816069
,technique,1,26816069
,mandatory,2,26816069
,constant,1,26816069
,monitoring,1,26816069
,assembled,1,26816069
,device,1,26816069
,unusual,1,26693309
,myocardial,1,26693309
,myocardial infarction,1,26693309
,infarction,1,26693309
,male,1,26693309
,chondrosarcoma,1,26693309
,chest,3,26693309
,chest pain,1,26693309
,pain,1,26693309
,history,1,26693309
,electrocardiogram,1,26693309
,ecg,3,26693309
,biomarkers,1,26693309
,diagnosis,1,26693309
,myocardial,1,26693309
,myocardial infarction,1,26693309
,infarction,1,26693309
,angiography,1,26693309
,not,2,26693309
,coronary,1,26693309
,coronary atherosclerosis,1,26693309
,atherosclerosis,1,26693309
,initial,1,26693309
,transthoracic,2,26693309
,transthoracic echocardiogram,2,26693309
,echocardiogram,3,26693309
,tomography,1,26693309
,cardiac,6,26693309
,abnormalities,1,26693309
,second,1,26693309
,routine,1,26693309
,presence,1,26693309
,mass,1,26693309
,right,1,26693309
,right ventricle,1,26693309
,ventricle,1,26693309
,cardiac apex,1,26693309
,apex,1,26693309
,chest ct,1,26693309
,chest ct scan,1,26693309
,ct scan,1,26693309
,scan,1,26693309
,cardiac tumors,4,26693309
,tumors,4,26693309
,clinical,1,26693309
,management,1,26693309
,ecg changes,1,26693309
,changes,1,26693309
,similar,1,26693309
,mind,1,26693309
,setting,1,26693309
,technique,1,26693309
,choice,1,26693309
,new,1,26609392
,diagnostic,1,26609392
,information,1,26609392
,electrocardiogram,1,26609392
,cardiac,1,26609392
,cardiac disease,1,26609392
,disease,1,26609392
,disease classification,1,26609392
,classification,1,26609392
,new,1,26609392
,measure,4,26609392
,diagnostic,3,26609392
,information,1,26609392
,electrocardiogram,1,26609392
,mec,1,26609392
,principal,1,26609392
,principal component,1,26609392
,component,1,26609392
,sample,2,26609392
,entropy,2,26609392
,analysis,1,26609392
,dimension,1,26609392
,data,1,26609392
,matrix,2,26609392
,values,1,26609392
,scale,1,26609392
,feature,1,26609392
,vector,2,26609392
,performance,2,26609392
,proposed,2,26609392
,least square,1,26609392
,square,1,26609392
,support,1,26609392
,support vector machine,1,26609392
,machine,1,26609392
,detection,1,26609392
,classification,2,26609392
,normal,1,26609392
,healthy,1,26609392
,healthy control,1,26609392
,control,1,26609392
,different,1,26609392
,cardiovascular,1,26609392
,cardiovascular diseases,1,26609392
,diseases,2,26609392
,cardiomyopathy,1,26609392
,cardiac,3,26609392
,cardiac dysrhythmia,1,26609392
,dysrhythmia,1,26609392
,hypertrophy,1,26609392
,myocardial,1,26609392
,myocardial infarction,1,26609392
,infarction,1,26609392
,results,1,26609392
,cardiac diseases,1,26609392
,successfully,1,26609392
,average,1,26609392
,accuracy,1,26609392
,comparison,1,26609392
,recently,1,26609392
,methods,1,26609392
,cardiac disease,1,26609392
,disease,1,26609392
,disease classification,1,26609392
,remodeling,1,26562985
,therapy,1,26562985
,new,1,26562985
,strategies,1,26562985
,future,1,26562985
,heart,1,26562985
,heart failure,1,26562985
,failure,1,26562985
,part,1,26562985
,recent,1,26562985
,years,1,26562985
,progress,1,26562985
,survival,1,26562985
,myocardial,1,26562985
,myocardial infarction,1,26562985
,infarction,1,26562985
,incidence,1,26562985
,chronic,1,26562985
,chronic heart failure,1,26562985
,heart,1,26562985
,heart failure,1,26562985
,failure,1,26562985
,survivors,1,26562985
,phenomenon,1,26562985
,due,1,26562985
,still,1,26562985
,incomplete,1,26562985
,knowledge,1,26562985
,complex,1,26562985
,mechanisms,1,26562985
,response,1,26562985
,cardiac,1,26562985
,cardiac tissue,1,26562985
,tissue,1,26562985
,ischemic,1,26562985
,injury,1,26562985
,various,1,26562985
,cell,1,26562985
,cell types,1,26562985
,types,1,26562985
,cells,4,26562985
,immune,1,26562985
,immune system,1,26562985
,system,2,26562985
,endothelial,1,26562985
,endothelial cells,1,26562985
,cardiomyocytes,1,26562985
,stem,2,26562985
,stem cells,2,26562985
,well,1,26562985
,mediators,1,26562985
,cytokines,1,26562985
,not,1,26562985
,only,1,26562985
,parallel,1,26562985
,findings,1,26562985
,remodeling,1,26562985
,new,1,26562985
,potential,1,26562985
,therapeutic,1,26562985
,targets,1,26562985
,progression,1,26562985
,disease,1,26562985
,evaluation,1,26562985
,results,1,26562985
,gene,1,26562985
,gene therapy,1,26562985
,therapy,2,26562985
,part,1,26562985
,microrna,1,26562985
,posttranslational modification,1,26562985
,modification,1,26562985
,microspheres,1,26562985
,remodeling,1,26562984
,therapy,1,26562984
,new,1,26562984
,strategies,1,26562984
,future,1,26562984
,heart,1,26562984
,heart failure,1,26562984
,failure,1,26562984
,part,1,26562984
,recent,1,26562984
,years,1,26562984
,progress,1,26562984
,survival,1,26562984
,myocardial,1,26562984
,myocardial infarction,1,26562984
,infarction,1,26562984
,incidence,1,26562984
,chronic,1,26562984
,chronic heart failure,1,26562984
,heart,1,26562984
,heart failure,1,26562984
,failure,1,26562984
,survivors,1,26562984
,phenomenon,1,26562984
,due,1,26562984
,still,1,26562984
,incomplete,1,26562984
,knowledge,1,26562984
,complex,1,26562984
,mechanisms,1,26562984
,response,1,26562984
,cardiac,1,26562984
,cardiac tissue,1,26562984
,tissue,1,26562984
,ischemic,1,26562984
,injury,1,26562984
,various,1,26562984
,cell,1,26562984
,cell types,1,26562984
,types,1,26562984
,cells,4,26562984
,immune,1,26562984
,immune system,1,26562984
,system,2,26562984
,endothelial,1,26562984
,endothelial cells,1,26562984
,cardiomyocytes,1,26562984
,stem,2,26562984
,stem cells,2,26562984
,well,1,26562984
,mediators,1,26562984
,cytokines,1,26562984
,not,1,26562984
,only,1,26562984
,parallel,1,26562984
,findings,1,26562984
,remodeling,1,26562984
,new,2,26562984
,potential,1,26562984
,therapeutic,2,26562984
,targets,1,26562984
,progression,1,26562984
,disease,1,26562984
,review,1,26562984
,results,1,26562984
