conceptID,concept,rank,PMID
,prescribing,1,19025811
,lipid,1,19025811
,drugs,1,19025811
,period,1,19025811
,analysis,1,19025811
,health,1,19025811
,health insurance,1,19025811
,insurance,1,19025811
,files,1,19025811
,study,3,19025811
,prescription,2,19025811
,patterns,1,19025811
,physicians,1,19025811
,use,1,19025811
,lipid,1,19025811
,drugs,3,19025811
,germany,1,19025811
,area,1,19025811
,period,2,19025811
,database,1,19025811
,health,2,19025811
,health insurance,2,19025811
,insurance,2,19025811
,files,1,19025811
,random,1,19025811
,random sampling,1,19025811
,sampling,1,19025811
,persons,1,19025811
,large,1,19025811
,organization,1,19025811
,study population,1,19025811
,population,1,19025811
,fibrates,1,19025811
,most,1,19025811
,frequently,1,19025811
,hmgcoa reductase inhibitors,1,19025811
,reductase,1,19025811
,inhibitors,1,19025811
,nicotinic acid,1,19025811
,acid,1,19025811
,derivatives,1,19025811
,prevalence,1,19025811
,treatment,1,19025811
,age,1,19025811
,more,1,19025811
,patients,4,19025811
,not,1,19025811
,continu,1,19025811
,less,1,19025811
,months,1,19025811
,therapy,1,19025811
,ineffective,1,19025811
,due,1,19025811
,short,1,19025811
,episodes,1,19025811
,drug,1,19025811
,drug administration,1,19025811
,administration,2,19025811
,presence,1,19025811
,hyperlipidaemia,4,19025811
,additional,2,19025811
,risk,2,19025811
,risk factors,2,19025811
,factors,2,19025811
,hypertension,2,19025811
,rate,1,19025811
,prescriptions,1,19025811
,alone,1,19025811
,only,1,19025811
,half,1,19025811
,history,1,19025811
,previous,1,19025811
,previous myocardial infarction,1,19025811
,myocardial,1,19025811
,myocardial infarction,1,19025811
,infarction,1,19025811
,arterial,1,19025811
,arterial hypertension,1,19025811
,coronary,1,19025811
,coronary heart disease,1,19025811
,heart,1,19025811
,heart disease,1,19025811
,disease,1,19025811
,chd,1,19025811
,often,1,19025811
,effective,1,19025811
,far,1,19025811
,infrequently,1,19025811
,copyright,1,19025811
,sons,1,19025811
,ltd,1,19025811
,use,1,19025797
,calcium,1,19025797
,calcium channel,1,19025797
,calcium channel blockers,1,19025797
,channel,1,19025797
,channel blockers,1,19025797
,hypertensive,1,19025797
,patients,1,19025797
,purpose,1,19025797
,hypertension,4,19025797
,hypertension treatment,1,19025797
,treatment,1,19025797
,cardiovascular,1,19025797
,cardiovascular disease,1,19025797
,disease,1,19025797
,cvd,2,19025797
,risk,4,19025797
,reports,1,19025797
,association,1,19025797
,calcium,1,19025797
,calcium channel,1,19025797
,calcium channel blockers,1,19025797
,channel,1,19025797
,channel blockers,1,19025797
,use,3,19025797
,studies,1,19025797
,patients,5,19025797
,methods,1,19025797
,knowledge,1,19025797
,attitudes,1,19025797
,practice,1,19025797
,kap,1,19025797
,survey,1,19025797
,mail,1,19025797
,stratified,1,19025797
,stratified random sample,1,19025797
,random,1,19025797
,random sample,1,19025797
,sample,1,19025797
,cardiologists,1,19025797
,internists,1,19025797
,practitioners,1,19025797
,surveys,1,19025797
,population,1,19025797
,population means,1,19025797
,means,1,19025797
,frequencies,1,19025797
,errors,1,19025797
,results,1,19025797
,only,1,19025797
,physicians,3,19025797
,mild,1,19025797
,additional,1,19025797
,risk factors,2,19025797
,factors,2,19025797
,increases,1,19025797
,moderate,1,19025797
,severe,1,19025797
,other,2,19025797
,history,2,19025797
,myocardial,1,19025797
,myocardial infarction,1,19025797
,infarction,1,19025797
,family,1,19025797
,family history,1,19025797
,diabetes,1,19025797
,angina,1,19025797
,initial,1,19025797
,therapy,2,19025797
,mildly,1,19025797
,moderately,2,19025797
,hypertensive,4,19025797
,regimens,1,19025797
,not,1,19025797
,other antihypertensive,1,19025797
,antihypertensive,1,19025797
,antihypertensive therapy,1,19025797
,multiple,1,19025797
,multiple regression,1,19025797
,regression,1,19025797
,regression analysis,1,19025797
,analysis,1,19025797
,proportion,1,19025797
,significantly,1,19025797
,geriatricians,1,19025797
,severity,1,19025797
,indication,1,19025797
,conclusion,1,19025797
,findings,1,19025797
,copyright,1,19025797
,sons,1,19025797
,ltd,1,19025797
,percutaneous,1,18493542
,percutaneous transluminal angioscopy,1,18493542
,transluminal,1,18493542
,angioscopy,1,18493542
,coronary,1,18493542
,intervention,1,18493542
,percutaneous,1,18493542
,percutaneous transluminal coronary angioplasty,1,18493542
,transluminal,1,18493542
,coronary,7,18493542
,coronary angioplasty,2,18493542
,angioplasty,2,18493542
,mechanism,1,18493542
,efficacy,1,18493542
,coronary stenting,1,18493542
,stenting,1,18493542
,acute,3,18493542
,acute myocardial infarction,3,18493542
,myocardial,4,18493542
,myocardial infarction,4,18493542
,infarction,4,18493542
,angioscopy,3,18493542
,patients,9,18493542
,stable,1,18493542
,stable angina,1,18493542
,angina,2,18493542
,thrombi,5,18493542
,intimal,3,18493542
,flaps,2,18493542
,most,2,18493542
,large,4,18493542
,third,1,18493542
,stents,1,18493542
,flap,1,18493542
,split,1,18493542
,inner,1,18493542
,lumen,3,18493542
,thrombolytic,1,18493542
,thrombolytic agents,1,18493542
,additional,1,18493542
,treatments,1,18493542
,unstable,1,18493542
,unstable angina,1,18493542
,hospita,1,18493542
,clinicians,1,18493542
,intervention,1,18493542
,intervention strategy,1,18493542
,strategy,1,18493542
