conceptID,concept,rank,PMID
,blind,1,26816259
,pericardiotomy,1,26816259
,critical,1,26816259
,acute,1,26816259
,hemopericardium,1,26816259
,final,1,26816259
,final report,1,26816259
,report,1,26816259
,purpose,1,26816259
,percutaneous,1,26816259
,catheter,1,26816259
,drainage,1,26816259
,standard,1,26816259
,method,1,26816259
,acute,5,26816259
,cardiac,5,26816259
,cardiac tamponade,4,26816259
,tamponade,4,26816259
,conventional,1,26816259
,pericardiotomy,3,26816259
,useful,1,26816259
,hemopericardium,5,26816259
,emergency,3,26816259
,emergency treatment,1,26816259
,treatment,1,26816259
,procedure,1,26816259
,technique,1,26816259
,management,1,26816259
,methods,1,26816259
,prospective,1,26816259
,observational,1,26816259
,observational study,1,26816259
,study,1,26816259
,blind,1,26816259
,bsp,7,26816259
,critical,2,26816259
,due,2,26816259
,patients,2,26816259
,secondary,1,26816259
,trauma,1,26816259
,aortic,1,26816259
,aortic disease,1,26816259
,disease,1,26816259
,cardiac rupture,1,26816259
,rupture,1,26816259
,acute myocardial infarction,1,26816259
,myocardial,1,26816259
,myocardial infarction,1,26816259
,infarction,1,26816259
,subjects,1,26816259
,early,1,26816259
,results,2,26816259
,group,2,26816259
,pcd,5,26816259
,effective,2,26816259
,cases,3,26816259
,ineffective,1,26816259
,complication,1,26816259
,survival,1,26816259
,survival rates,1,26816259
,groups,1,26816259
,restriction,1,26816259
,only,1,26816259
,surgeons,1,26816259
,acute care,1,26816259
,care,1,26816259
,physicians,1,26816259
,complications,2,26816259
,conclusions,1,26816259
,not,1,26816259
,clots,1,26816259
,pericardium,1,26816259
,tartrateresistant acid phosphatase,1,24820632
,acid,1,24820632
,acid phosphatase,1,24820632
,phosphatase,1,24820632
,sarcoidosis,1,24820632
,further,1,24820632
,evidence,1,24820632
,novel,1,24820632
,macrophage,1,24820632
,biomarker,1,24820632
,chronic,1,24820632
,chronic inflammation,1,24820632
,inflammation,1,24820632
,backgroun,1,24820632
,tartrateresistant acid phosphatase,1,24820632
,acid,1,24820632
,acid phosphatase,1,24820632
,phosphatase,1,24820632
,tracp,1,24820632
,inflammatory,3,24820632
,macrophages,2,24820632
,serum,3,24820632
,rheumatoid arthritis,1,24820632
,arthritis,1,24820632
,patients,7,24820632
,manifestations,1,24820632
,rheumatoid nodules,1,24820632
,nodules,1,24820632
,percentage,1,24820632
,chronic,2,24820632
,chronic kidney disease,1,24820632
,kidney,1,24820632
,kidney disease,1,24820632
,disease,3,24820632
,risk,1,24820632
,risk marker,1,24820632
,marker,1,24820632
,acute,1,24820632
,acute myocardial infarction,1,24820632
,myocardial,1,24820632
,myocardial infarction,1,24820632
,infarction,1,24820632
,study,1,24820632
,sarcoidosis,6,24820632
,further,2,24820632
,hypothesis,2,24820632
,protein,5,24820632
,biomarker,2,24820632
,other,2,24820632
,chronic inflammatory diseases,1,24820632
,inflammatory diseases,1,24820632
,diseases,1,24820632
,methods,1,24820632
,immunohistochemical,1,24820632
,immunohistochemical staining,1,24820632
,staining,2,24820632
,tissues,3,24820632
,inflammation,2,24820632
,biomarkers,1,24820632
,enzyme,1,24820632
,creactive protein,1,24820632
,healthy,1,24820632
,individuals,1,24820632
,reference,1,24820632
,reference group,1,24820632
,group,2,24820632
,results,1,24820632
,strong,1,24820632
,granulomatous,2,24820632
,granulomatous lesions,1,24820632
,lesions,1,24820632
,giant,1,24820632
,giant cells,1,24820632
,cells,1,24820632
,significantly,1,24820632
,active,1,24820632
,control,1,24820632
,control group,1,24820632
,levels,1,24820632
,activity,2,24820632
,patient,1,24820632
,longitudinally,1,24820632
,conclusion,1,24820632
,granulomatous tissues,1,24820632
,significant,1,24820632
,proportion,1,24820632
,findings,1,24820632
,systemic,1,24820632
,acute,1,24694482
,acute myocardial infarction,1,24694482
,myocardial,1,24694482
,myocardial infarction,1,24694482
,infarction,1,24694482
,coronary,1,24694482
,coronary embolism,1,24694482
,embolism,1,24694482
,aspergillus,1,24694482
,endocarditis,1,24694482
,primary,1,24694482
,cause,1,24694482
,acute,4,24694482
,acute coronary syndrome,1,24694482
,coronary,2,24694482
,syndrome,1,24694482
,atherosclerotic,1,24694482
,disease,1,24694482
,other,1,24694482
,causes,1,24694482
,acute myocardial infarction,2,24694482
