conceptID,concept,rank,PMID
,vascular,2,26815541
,vascular complications,1,26815541
,complications,1,26815541
,special,1,26815541
,problems,1,26815541
,trauma,1,26815541
,evaluation,1,26815541
,management,3,26815541
,patients,1,26815541
,vascular,6,26815541
,trauma,1,26815541
,injury,3,26815541
,often,1,26815541
,rapid,1,26815541
,decision,1,26815541
,less,1,26815541
,ideal,1,26815541
,immediate,2,26815541
,consequences,1,26815541
,hemorrhage,1,26815541
,ischemia,1,26815541
,compartment,2,26815541
,compartment syndrome,1,26815541
,syndrome,1,26815541
,thrombosis,1,26815541
,embolization,1,26815541
,life,1,26815541
,intervention,1,26815541
,addition,2,26815541
,number,2,26815541
,regional,1,26815541
,systemic,1,26815541
,complications,7,26815541
,initial,2,26815541
,pathology,1,26815541
,possible,1,26815541
,shock,1,26815541
,acute,1,26815541
,acute renal failure,1,26815541
,renal,1,26815541
,renal failure,1,26815541
,failure,2,26815541
,myocardial,1,26815541
,myocardial infarction,1,26815541
,infarction,1,26815541
,stroke,1,26815541
,disease,1,26815541
,process,1,26815541
,well,2,26815541
,optimal,2,26815541
,diagnostic,1,26815541
,interventions,1,26815541
,risk,1,26815541
,highly,1,26815541
,mortal,1,26815541
,managing,1,26815541
,managing physician,1,26815541
,physician,1,26815541
,specific,1,26815541
,vascular injury,2,26815541
,many,1,26815541
,potential,1,26815541
,subsequently,1,26815541
,article,1,26815541
,details,1,26815541
,strategies,1,26815541
,prevention,1,26815541
,problems,1,26815541
,traumatic,1,26815541
,traumatic injuries,1,26815541
,injuries,2,26815541
,arterial,2,26815541
,venous,2,26815541
,venous system,1,26815541
,system,1,26815541
,repairs,1,26815541
,reconstructions,1,26815541
,surgical,1,26815541
,surgical site,1,26815541
,site,1,26815541
,graft,1,26815541
,graft infections,1,26815541
,infections,1,26815541
,anastomotic,1,26815541
,anastomotic complications,1,26815541
,compartment syndr,1,26815541
,syndr omes,1,26815541
,secondary,1,26815541
,use,2,26815541
,illicit,1,26815541
,intravenous,1,26815541
,intravenous drug,1,26815541
,intravenous drug use,1,26815541
,drug,1,26815541
,drug use,1,26815541
,increasingly,1,26815541
,topic,1,26815541
,iatrogenic,1,26815541
,vascular injuries,1,26815541
,endothelial,1,25750747
,endothelial progenitor cells,1,25750747
,progenitor,1,25750747
,progenitor cells,1,25750747
,cells,1,25750747
,myocardium,1,25750747
,neovascularisation,1,25750747
,development,1,25750747
,isolation,1,25750747
,characterization,1,25750747
,human,5,25750747
,umbilical,2,25750747
,umbilical cord,2,25750747
,umbilical cord blood,2,25750747
,cord,4,25750747
,cord blood,4,25750747
,blood,5,25750747
,endothelial,1,25750747
,endothelial progenitor cells,1,25750747
,progenitor,1,25750747
,progenitor cells,1,25750747
,cells,3,25750747
,examination,1,25750747
,new,1,25750747
,blood vessels,1,25750747
,vessels,1,25750747
,differentiation,1,25750747
,canines,3,25750747
,acute,1,25750747
,acute myocardial infarction,1,25750747
,myocardial,1,25750747
,myocardial infarction,1,25750747
,infarction,1,25750747
,ami,3,25750747
,phenotypes,1,25750747
,uptake,1,25750747
,double,1,25750747
,stains,1,25750747
,ldl,1,25750747
,ulex,1,25750747
,ulex europaeus,1,25750747
,enos,3,25750747
,ecg,1,25750747
,cardiac,2,25750747
,cardiac enzymes,1,25750747
,enzymes,1,25750747
,troponin,1,25750747
,severity,1,25750747
,cellular,1,25750747
,damage,1,25750747
,histopathology,2,25750747
,neovascularisation,1,25750747
,transdifferentiation,1,25750747
,cardiomyocytes,1,25750747
,cardiac tissue,1,25750747
,tissue,1,25750747
,qpcr,1,25750747
,human genes,1,25750747
,genes,2,25750747
,angiogenic,1,25750747
,function,1,25750747
,transplanted,1,25750747
,increased,1,25750747
,number,1,25750747
,significant,1,25750747
,high,1,25750747
,expression,1,25750747
,culture,1,25750747
,culture cells,1,25750747
,neovascularization,1,25750747
,presence,1,25750747
,newly,1,25750747
,findings,1,25750747
,angiogenesis,1,25750747
,differentiate,1,25750747
,risk,1,25411602
,hospitalization,1,25411602
,diabetic,1,25411602
,complications,1,25411602
,inhospital mortality,1,25411602
,mortality,1,25411602
,irregular,1,25411602
,physician,1,25411602
,visits,1,25411602
,propensity score,1,25411602
,score,1,25411602
,matching,1,25411602
,objective,1,25411602
,present,2,25411602
,study,3,25411602
,risk,2,25411602
,diabetic,8,25411602
,complications,4,25411602
,inhospital mortality,2,25411602
,mortality,2,25411602
,patients,4,25411602
,irregular,5,25411602
,physician,2,25411602
,visits,7,25411602
,materials,1,25411602
,methods,1,25411602
,health,2,25411602
,retrospective,1,25411602
,retrospective cohort study,1,25411602
,cohort,1,25411602
,cohort study,1,25411602
,data,1,25411602
,newly,1,25411602
,april,2,25411602
,september,1,25411602
,national,1,25411602
,national health insurance,1,25411602
,health insurance,1,25411602
,insurance,1,25411602
,organization,1,25411602
,regular,4,25411602
,diabetes,1,25411602
,diabetes mellitus,1,25411602
,months,1,25411602
,other,1,25411602
,visit,5,25411602
,groups,2,25411602
,propensity score,1,25411602
,score,1,25411602
,matching,1,25411602
,hospitalization,3,25411602
,multiple,1,25411602
,logistic,1,25411602
,logistic regression,1,25411602
,regression,1,25411602
,models,1,25411602
,results,1,25411602
,group,3,25411602
,significantly,2,25411602
,acute,1,25411602
,acute myocardial infarction,1,25411602
,myocardial,1,25411602
,myocardial infarction,1,25411602
,infarction,1,25411602
,ami,4,25411602
,ischemic,1,25411602
,ischemic heart diseases,1,25411602
,heart,1,25411602
,heart diseases,1,25411602
,diseases,1,25411602
,ihds,1,25411602
,strokes,2,25411602
,odds ratios,1,25411602
,ratios,1,25411602
,confidence,1,25411602
,confidence interval,1,25411602
,interval,1,25411602
,conclusions,1,25411602
,risks,1,25411602
,ihd,1,25411602
,insurers,1,25411602
,comparison,1,25332708
,clinical,1,25332708
,outcomes,1,25332708
,chinese,1,25332708
,men,1,25332708
,women,1,25332708
,coronary,2,25332708
,coronary stenting,1,25332708
,stenting,1,25332708
,coronary artery,1,25332708
,coronary artery disease,1,25332708
,artery,1,25332708
,artery disease,1,25332708
,disease,1,25332708
,retrospective,1,25332708
,analysis,1,25332708
,patients,1,25332708
