conceptID,concept,rank,PMID
,aggregation,1,2275044
,serum,1,2275044
,patients,1,2275044
,acute,1,2275044
,acute myocardial infarction,1,2275044
,myocardial,1,2275044
,myocardial infarction,1,2275044
,infarction,1,2275044
,treatment,1,2275044
,acetylsalicylic acid,3,2275044
,acid,4,2275044
,mortality,2,2275044
,acute,1,2275044
,acute myocardial infarction,1,2275044
,myocardial,1,2275044
,myocardial infarction,1,2275044
,infarction,1,2275044
,ami,5,2275044
,mode,1,2275044
,action,1,2275044
,unknown,1,2275044
,studies,1,2275044
,patients,5,2275044
,unstable,3,2275044
,unstable angina,3,2275044
,unstable angina pectoris,3,2275044
,angina,3,2275044
,angina pectoris,3,2275044
,platelet,5,2275044
,aggregating,1,2275044
,metabolite,1,2275044
,present,1,2275044
,investigation,2,2275044
,ten,1,2275044
,platelet aggregation,3,2275044
,aggregation,3,2275044
,arachidonic acid,1,2275044
,serum,2,2275044
,findings,1,2275044
,healthy,1,2275044
,healthy control,1,2275044
,control,1,2275044
,persons,1,2275044
,significantly,3,2275044
,first,2,2275044
,day,2,2275044
,increases,2,2275044
,cases,1,2275044
,days,2,2275044
,less,2,2275044
,concentration,2,2275044
,normal,1,2275044
,course,1,2275044
,values,1,2275044
,not,1,2275044
,not significantly,1,2275044
,different,1,2275044
,observed,1,2275044
,concentrations,1,2275044
,blood,2,2275044
,lowers,1,2275044
,effect,1,2275044
,preparation,1,2275044
,systemic,1,2151431
,thrombolysis,1,2151431
,acute,1,2151431
,acute myocardial infarct,1,2151431
,myocardial,1,2151431
,myocardial infarct,1,2151431
,infarct,1,2151431
,physiopathological,1,2151431
,bases,1,2151431
,current,1,2151431
,status,1,2151431
,problems,1,2151431
,thrombolytic,2,2151431
,thrombolytic therapy,1,2151431
,therapy,1,2151431
,acute,1,2151431
,acute myocardial infarction,1,2151431
,myocardial,1,2151431
,myocardial infarction,1,2151431
,infarction,1,2151431
,coronary,2,2151431
,coronary arteries,1,2151431
,arteries,1,2151431
,infarct,1,2151431
,size,1,2151431
,ventricular,1,2151431
,ventricular dysfunction,1,2151431
,dysfunction,1,2151431
,survival,1,2151431
,intravenous,1,2151431
,thrombolysis,1,2151431
,now,1,2151431
,best,1,2151431
,same,1,2151431
,results,1,2151431
,less,1,2151431
,organisational,1,2151431
,problems,2,2151431
,comparison,1,2151431
,intracoronary,1,2151431
,treatment,2,2151431
,present,1,2151431
,study,1,2151431
,reading,1,2151431
,method,1,2151431
,knowledge,1,2151431
,physiology,1,2151431
,coronary artery,1,2151431
,coronary artery disease,1,2151431
,artery,1,2151431
,artery disease,1,2151431
,disease,1,2151431
,data,1,2151431
,literature,1,2151431
,effectiveness,1,2151431
,activities,1,2093476
,mitochondrial,1,2093476
,mitochondrial aspartate aminotransferase,1,2093476
,aspartate,1,2093476
,aspartate aminotransferase,1,2093476
,aminotransferase,1,2093476
,creatine,1,2093476
,creatine kinase,1,2093476
,creatine kinase isoenzyme,1,2093476
,creatine kinase isoenzyme mb,1,2093476
,kinase,1,2093476
,isoenzyme,1,2093476
,serum,1,2093476
,coronary,1,2093476
,coronary bypass,1,2093476
,coronary bypass surgery,1,2093476
,bypass,1,2093476
,bypass surgery,1,2093476
,surgery,1,2093476
,mitochondrial,4,2093476
,isoenzyme,1,2093476
,aspartate,4,2093476
,aspartate aminotransferase,4,2093476
,aminotransferase,4,2093476
,only,1,2093476
,slight,1,2093476
,increases,4,2093476
,serum,1,2093476
,patients,2,2093476
,uncomplicated,1,2093476
,coronary,4,2093476
,coronary bypass,2,2093476
,coronary bypass surgery,2,2093476
,bypass,2,2093476
,bypass surgery,2,2093476
,surgery,2,2093476
,rapid,1,2093476
,creatine,4,2093476
,creatine kinase,4,2093476
,creatine kinase mb,3,2093476
,kinase,4,2093476
,perioperative,1,2093476
,infarction,1,2093476
,serious,1,2093476
,complications,1,2093476
,mitochondrial aspartate aminotransferase,3,2093476
,elevations,2,2093476
,specific,1,2093476
,marker,1,2093476
,myocardial,1,2093476
,myocardial necrosis,1,2093476
,necrosis,1,2093476
,early,1,2093476
,minutes,1,2093476
,onset,1,2093476
,coronary reperfusion,1,2093476
,reperfusion,2,2093476
,slightly,1,2093476
,activities,1,2093476
,coronary sinus,1,2093476
,sinus,1,2093476
,blood,2,2093476
,systemic,1,2093476
,simultaneously,1,2093476
,first,1,2093476
,hours,1,2093476
,association,1,2247116
,perioperative,2,2247116
,myocardial,1,2247116
,myocardial ischemia,1,2247116
,ischemia,2,2247116
,cardiac,1,2247116
,morbidity,1,2247116
,mortality,1,2247116
,men,1,2247116
,surgery,1,2247116
,study,1,2247116
,research,1,2247116
,group,1,2247116
,background,1,2247116
,cardiac,6,2247116
,cardiac events,3,2247116
,events,5,2247116
,major,1,2247116
,cause,1,2247116
,morbidity,1,2247116
,mortality,1,2247116
,surgery,7,2247116
,predictors,1,2247116
,outcomes,2,2247116
,order,1,2247116
,efforts,1,2247116
,prevention,1,2247116
,treatment,1,2247116
,patients,6,2247116
,sometimes,1,2247116
,postoperative,4,2247116
,highest,1,2247116
,risk,2,2247116
,methods,1,2247116
,prospectively,1,2247116
,men,1,2247116
,coronary,1,2247116
,coronary artery,1,2247116
,coronary artery disease,1,2247116
,artery,1,2247116
,artery disease,1,2247116
,disease,1,2247116
,high,1,2247116
,high risk,1,2247116
,elective,1,2247116
,historical,2,2247116
,clinical,2,2247116
,laboratory,1,2247116
,physiologic,1,2247116
,data,1,2247116
,hospitalization,1,2247116
,months,1,2247116
,myocardial,5,2247116
,myocardial ischemia,3,2247116
,ischemia,4,2247116
,continuous,1,2247116
,continuous electrocardiographic,1,2247116
,electrocardiographic,1,2247116
,electrocardiographic monitoring,1,2247116
,monitoring,1,2247116
,days,2,2247116
,results,1,2247116
,percent,4,2247116
,hospital,1,2247116
,ischemic,3,2247116
,cardiac death,1,2247116
,death,1,2247116
,myocardial infarction,2,2247116
,infarction,2,2247116
,unstable,1,2247116
,unstable angina,1,2247116
,angina,1,2247116
,congestive,2,2247116
,congestive heart failure,2,2247116
,heart,2,2247116
,heart failure,2,2247116
,failure,2,2247116
,ventricular,1,2247116
,ventricular tachycardia,1,2247116
,tachycardia,1,2247116
,increase,2,2247116
,confidence,2,2247116
,confidence interval,2,2247116
,interval,2,2247116
,less,2,2247116
,event,1,2247116
,multivariate analysis,1,2247116
,analysis,1,2247116
,other,1,2247116
,perioperative,1,2247116
,variable,1,2247116
,independently,1,2247116
,index,1,2247116
,history,1,2247116
,previous,1,2247116
,previous myocardial infarction,1,2247116
,occurrence,1,2247116
,conclusions,1,2247116
,early,1,2247116
,correlate,1,2247116
,isotopes,1,2100061
,myocardial,1,2100061
,myocardial ischemia,1,2100061
,ischemia,1,2100061
,single,1,2100061
,photon,1,2100061
,emission,1,2100061
,tomography,1,2100061
,spect,4,2100061
,superior,1,2100061
,conventional,1,2100061
,radionuclide,1,2100061
,scintigraphy,1,2100061
,most,1,2100061
,marker,1,2100061
,not,1,2100061
,dependent,1,2100061
,patients,1,2100061
,rest,2,2100061
,exercise,3,2100061
,redistribution,2,2100061
,study,1,2100061
,dipyridamole,2,2100061
,nitrate,2,2100061
,infusion,3,2100061
,spasm,1,2100061
,provocation,1,2100061
,test,1,2100061
,myocardial,2,2100061
,myocardial infarction,1,2100061
,infarction,1,2100061
,viable,1,2100061
,muscle,1,2100061
,infarct,1,2100061
,more,1,2100061
,effective,1,2100061
,other,1,2100061
,noninvasive,1,2100061
,method,2,2100061
,myocardial ischaemia,1,2100061
,ischaemia,1,2100061
,sensitivity,2,2100061
,specificity,2,2100061
,surgical,1,2100061
,revascularization,1,2100061
,normal,1,2100061
,functional,1,2100061
,aortocoronary,1,2100061
,aortocoronary bypass,1,2100061
,bypass,1,2100061
,cases,1,2100061
,good,1,2100061
,restenosis,1,2100061
,negative,1,2100061
,negative predictive value,1,2100061
,predictive,1,2100061
,predictive value,1,2100061
,value,1,2100061
,examinations,1,2100061
,limitations,1,2100061
,left,1,2100061
,left bundle branch,1,2100061
,left bundle branch block,1,2100061
,bundle branch,1,2100061
,bundle branch block,1,2100061
,branch,1,2100061
,block,1,2100061
,hypertrophic,1,2100061
,cardiopathies,1,2100061
,nuclear,1,2100060
,nuclear magnetic resonance,1,2100060
,nuclear magnetic resonance imaging,1,2100060
,magnetic,1,2100060
,magnetic resonance,1,2100060
,magnetic resonance imaging,1,2100060
,resonance,1,2100060
,imaging,1,2100060
,cardiology,1,2100060
,magnetic,1,2100060
,magnetic resonance,1,2100060
,magnetic resonance imaging,1,2100060
,resonance,1,2100060
,imaging,2,2100060
,mri,4,2100060
,well,1,2100060
,cardiovascular,2,2100060
,studies,1,2100060
,spontaneous,1,2100060
,contrast,1,2100060
,blood,1,2100060
,cardiac,4,2100060
,vascular,1,2100060
,vascular structures,1,2100060
,structures,1,2100060
,excellent,1,2100060
,theoretical,1,2100060
,technical,1,2100060
,modalities,1,2100060
,prior,1,2100060
,applications,3,2100060
,quality,1,2100060
,anatomical,1,2100060
,first,1,2100060
,daily,1,2100060
,practice,1,2100060
,other,1,2100060
,imaging methods,1,2100060
,methods,1,2100060
,aortic,1,2100060
,pathology,3,2100060
,aneurysm,1,2100060
,dissection,1,2100060
,postoperative,1,2100060
,control,1,2100060
,complex,1,2100060
,congenital,1,2100060
,hypertrophic,1,2100060
,hypertrophic cardiomyopathy,1,2100060
,cardiomyopathy,1,2100060
,heart,1,2100060
,tum,1,2100060
,postinfarction,1,2100060
,ventricular,1,2100060
,ventricular aneurysms,1,2100060
,aneurysms,1,2100060
,pericardial,1,2100060
,currently,1,2100060
,due,1,2100060
,recent,1,2100060
,acquisition,1,2100060
,now,1,2100060
,cardiac function,1,2100060
,function,1,2100060
,use,1,2100060
,cardiac muscle,1,2100060
,muscle,1,2100060
,highly,1,2100060
,original,1,2100060
,original application,1,2100060
,application,1,2100060
,interesting,1,2100060
,diagnostic,1,2100060
,tool,1,2100060
,actions,1,2256466
,calcium,1,2256466
,calcium antagonists,1,2256466
,antagonists,1,2256466
,treatment,2,2256466
,hypertension,3,2256466
,many,1,2256466
,complications,3,2256466
,attributable,1,2256466
,blood,1,2256466
,blood pressure,1,2256466
,blood pressure elevation,1,2256466
,pressure,1,2256466
,elevation,1,2256466
,stroke,1,2256466
,atherosclerotic,2,2256466
,coronary,4,2256466
,coronary artery,2,2256466
,coronary artery disease,2,2256466
,artery,2,2256466
,artery disease,2,2256466
,disease,5,2256466
,morbidity,1,2256466
,mortality,1,2256466
,not,1,2256466
,significantly,1,2256466
,antihypertensive,3,2256466
,antihypertensive therapy,1,2256466
,therapy,2,2256466
,outcome,1,2256466
,metabolic,1,2256466
,metabolic effects,1,2256466
,effects,2,2256466
,traditional,1,2256466
,therapies,2,2256466
,diuretics,1,2256466
,beta,1,2256466
,beta blockers,1,2256466
,lack,1,2256466
,specific,1,2256466
,properties,3,2256466
,attention,1,2256466
,antihypertensive agents,1,2256466
,adverse effects,1,2256466
,more,2,2256466
,physiologic,1,2256466
,mechanisms,1,2256466
,action,1,2256466
,calcium,4,2256466
,key,1,2256466
,role,1,2256466
,genesis,1,2256466
,atherosclerosis,3,2256466
,calcium antagonists,3,2256466
,antagonists,3,2256466
,course,1,2256466
,vascular,2,2256466
,vascular disease,2,2256466
,investigators,1,2256466
