conceptID,concept,rank,PMID
,material,1,18970285
,carbon,1,18970285
,paste,1,18970285
,electrode,1,18970285
,determination,1,18970285
,cardiac,1,18970285
,cardiac troponin,1,18970285
,troponin,1,18970285
,voltammetry,1,18970285
,stripping,2,18970285
,method,2,18970285
,determination,1,18970285
,cardiac,1,18970285
,material,1,18970285
,carbon,1,18970285
,paste,1,18970285
,electrode,2,18970285
,test,1,18970285
,dual,1,18970285
,monoclonal,1,18970285
,monoclonal antibody,1,18970285
,antibody,1,18970285
,colloidal gold,1,18970285
,gold,1,18970285
,substrate,1,18970285
,main,1,18970285
,steps,1,18970285
,analytical,1,18970285
,signal,1,18970285
,preparation,1,18970285
,immunoreaction,1,18970285
,silver,1,18970285
,enhancement,1,18970285
,detection,2,18970285
,peak,1,18970285
,current,1,18970285
,concentration,1,18970285
,range,1,18970285
,detection limit,1,18970285
,limit,1,18970285
,established,1,18970285
,ctni,1,18970285
,acute,1,18970285
,acute myocardial infarction,1,18970285
,myocardial,1,18970285
,myocardial infarction,1,18970285
,infarction,1,18970285
,ami,1,18970285
,samples,1,18970285
,routine,1,18970285
,immunoadsorbent,1,18970285
,assay,1,18970285
,elisa,1,18970285
,comparison,1,18970285
,analysis,1,18970285
,good,1,18970285
,results,1,18970285
,dimensions,1,18650598
,ace,1,18650598
,ace inhibitorsa,1,18650598
,inhibitorsa,1,18650598
,review,1,18650598
,literature,1,18650598
,clinical,1,18650598
,clinical trials,1,18650598
,1970s,1,18650598
,pharmacological,1,18650598
,therapy,1,18650598
,system,1,18650598
,patients,5,18650598
,hypertension,3,18650598
,rise,1,18650598
,development,1,18650598
,ace,3,18650598
,ace inhibitors,3,18650598
,inhibitors,3,18650598
,effective,1,18650598
,not,2,18650598
,only,1,18650598
,high,1,18650598
,high renin,1,18650598
,high renin hypertension,1,18650598
,renin,2,18650598
,renin hypertension,1,18650598
,many,1,18650598
,normal,1,18650598
,levels,1,18650598
,plasma,1,18650598
,plasma renin activity,1,18650598
,renin activity,1,18650598
,activity,1,18650598
,present,1,18650598
,significant,1,18650598
,position,1,18650598
,wide,1,18650598
,range,1,18650598
,chronic,1,18650598
,chronic illnesses,1,18650598
,illnesses,1,18650598
,atherosclerosis,1,18650598
,myocardial,1,18650598
,myocardial infarction,1,18650598
,infarction,1,18650598
,diabetic,1,18650598
,diabetic complications,1,18650598
,complications,1,18650598
,drugs,4,18650598
,angiotensin,1,18650598
,angiotensin receptor,1,18650598
,angiotensin receptor blockers,1,18650598
,receptor,1,18650598
,calcium,1,18650598
,calcium channel,1,18650598
,calcium channel blockers,1,18650598
,channel,1,18650598
,channel blockers,1,18650598
,thiazides,1,18650598
,degree,1,18650598
,benefits,1,18650598
,renal,1,18650598
,renal insufficiency,1,18650598
,insufficiency,1,18650598
,hypotension,1,18650598
,hyperkalemia,1,18650598
,safety,1,18650598
,paediatrics,1,18650598
,better,1,18650598
,pregnancy,1,18650598
,open,1,18568116
,open label,1,18568116
,open label study,1,18568116
,label,1,18568116
,study,1,18568116
,use,1,18568116
,eeg,1,18568116
,eeg biofeedback,1,18568116
,biofeedback,1,18568116
,beta,1,18568116
,training,1,18568116
,anxiety,1,18568116
,patients,1,18568116
,cardiac,1,18568116
,cardiac events,1,18568116
,events,1,18568116
,objective,1,18568116
,effectiveness,2,18568116
,eeg,4,18568116
,eeg biofeedback,2,18568116
,biofeedback,2,18568116
,beta,3,18568116
,training,4,18568116
,relaxation,1,18568116
,relaxation technique,1,18568116
,technique,1,18568116
,anxiety,6,18568116
,anxiety levels,1,18568116
,levels,1,18568116
,patients,2,18568116
,unstable,2,18568116
,unstable angina,2,18568116
,angina,2,18568116
,myocardial,2,18568116
,myocardial infarction,2,18568116
,infarction,2,18568116
,methodology,1,18568116
,cardiologists,1,18568116
,days,1,18568116
,cardiac,1,18568116
,cardiac event,1,18568116
,event,1,18568116
,cardiology,1,18568116
,wards,1,18568116
,initial,1,18568116
,anxiety scores,3,18568116
,scores,4,18568116
,hospital,1,18568116
,depression,1,18568116
,depression scale,1,18568116
,scale,1,18568116
,therapy,1,18568116
,instrument,1,18568116
,feedback,1,18568116
,weeks,1,18568116
,total,1,18568116
,sessions,2,18568116
,frequencies,1,18568116
,dropouts,2,18568116
,not,1,18568116
,program,1,18568116
,months,1,18568116
,later,1,18568116
,second,2,18568116
,psychological,1,18568116
,psychological assessment,1,18568116
,assessment,1,18568116
,study,2,18568116
,study design,1,18568116
,design,1,18568116
,uncontrolled,2,18568116
,results,1,18568116
,subjects,2,18568116
,significantly,3,18568116
,lower,1,18568116
,screening,1,18568116
,effective,1,18568116
,sensory,1,18568116
,motor,1,18568116
,rhythm,1,18568116
,waves,3,18568116
,significant,1,18568116
,effect,1,18568116
,present,1,18568116
,alpha,1,18568116
,conclusions,2,18568116
,nature,1,18568116
,limits,1,18568116
,firm,1,18568116
,approach,1,18568116
,anxiety reduction,1,18568116
,reduction,1,18568116
,new,1,18426087
,aspects,1,18426087
